rank,code,name,market,return_pct,start_date,start_price,end_date,end_price,source
114,02381.HK,蚬壳电业,HK,234.11180812267403,2025-08-01,0.09577631950378418,2026-07-31,0.3199999928474426,Yahoo Finance chart adjclose
115,605289.SH,罗曼股份,A,232.41062476067017,2025-07-31,25.79640769958496,2026-07-31,85.75,Yahoo Finance yfinance auto_adjust=True
116,300843.SZ,胜蓝股份,A,231.26813671591395,2025-07-31,30.88434600830078,2026-07-31,102.30999755859375,Yahoo Finance yfinance auto_adjust=True
117,06163.HK,彭顺国际,HK,230.00000819563854,2025-08-01,0.20000000298023224,2026-07-31,0.6600000262260437,Yahoo Finance chart adjclose
118,002842.SZ,翔鹭钨业,A,228.7610351018912,2025-07-31,8.9913330078125,2026-07-31,29.559999465942383,Yahoo Finance yfinance auto_adjust=True
119,688048.SH,长光华芯,A,228.10966070663824,2025-07-31,69.30000305175781,2026-07-31,227.3800048828125,Yahoo Finance yfinance auto_adjust=True
120,301292.SZ,海科新源,A,227.88804863088768,2025-07-31,19.649999618530273,2026-07-31,64.43000030517578,Yahoo Finance yfinance auto_adjust=True
121,688120.SH,华海清科,A,226.39016448151915,2025-07-31,78.73399353027344,2026-07-31,256.9800109863281,Yahoo Finance yfinance auto_adjust=True
122,02521.HK,升辉清洁,HK,225.80644603078252,2025-08-01,0.3100000023841858,2026-07-31,1.0099999904632568,Yahoo Finance chart adjclose
123,01718.HK,宏基集团控股,HK,225.4901956201104,2025-08-01,0.2549999952316284,2026-07-31,0.8299999833106995,Yahoo Finance chart adjclose
124,01347.HK,华虹半导体,HK,225.22180119268032,2025-08-01,39.45000076293945,2026-07-31,128.3000030517578,Yahoo Finance chart adjclose
125,003018.SZ,金富科技,A,223.2692602634133,2025-07-31,9.818440437316895,2026-07-31,31.739999771118164,Yahoo Finance yfinance auto_adjust=True
126,603186.SH,华正新材,A,223.23528387490518,2025-07-31,33.40909957885742,2026-07-31,107.98999786376953,Yahoo Finance yfinance auto_adjust=True
127,603268.SH,*ST松发,A,220.0503463229855,2025-07-31,47.68000030517578,2026-07-31,152.60000610351562,Yahoo Finance yfinance auto_adjust=True
128,01152.HK,正乾金融控股,HK,219.178080514037,2025-08-01,0.0729999989271164,2026-07-31,0.2329999953508377,Yahoo Finance chart adjclose
129,300567.SZ,精测电子,A,219.1681529880478,2025-07-31,59.84306335449219,2026-07-31,191.0,Yahoo Finance yfinance auto_adjust=True
130,688548.SH,广钢气体,A,218.21109881326538,2025-07-31,9.886518478393555,2026-07-31,31.459999084472656,Yahoo Finance yfinance auto_adjust=True
131,300806.SZ,斯迪克,A,217.8818200755902,2025-07-31,13.102354049682617,2026-07-31,41.650001525878906,Yahoo Finance yfinance auto_adjust=True
132,301217.SZ,铜冠铜箔,A,217.72295161159948,2025-07-31,26.003787994384766,2026-07-31,82.62000274658203,Yahoo Finance yfinance auto_adjust=True
133,01652.HK,福森药业,HK,215.62500407453635,2025-08-01,0.3199999928474426,2026-07-31,1.0099999904632568,Yahoo Finance chart adjclose
