code,name,period,status,total_assets,funds_assets,operating_assets,investment_assets,other_assets,mapped_assets_before_residual,reconciliation_residual,unresolved_ratio,formula_difference,funds_ratio,operating_ratio,investment_ratio,other_ratio,review_flags
688008.SH,澜起科技,2026-03-31,provisional,21680536261.01,16755136547.079998,3391557822.9100003,1375913549.59,157928341.43,21680536261.01,0.0,0.0,0.0,0.7728192857116833,0.1564332995309408,0.06346307734391356,0.007284337413462246,
600066.SH,宇通客车,2026-03-31,review_required,33849053129.3,13488022078.080002,13484507166.590004,3025666826.46,3850857058.17,33849053129.300003,-3.814697265625e-06,1.1269731094259084e-16,-3.814697265625e-06,0.39847560954089634,0.3983717687783033,0.08938704473954574,0.11376557694125479,其他类资产超过总资产10%，报告必须解释构成
920982.BJ,锦波生物,2026-03-31,provisional,2710942679.2,1116925336.42,1511106514.9200003,30597536.96,52313290.9,2710942679.2000003,-4.76837158203125e-07,1.758934860045952e-16,-4.76837158203125e-07,0.4120062533928623,0.5574099838090005,0.011286677949616164,0.01929708484852128,
002690.SZ,美亚光电,2026-03-31,provisional,3553103102.18,2081518033.92,1285123775.36,172695185.0,13766107.9,3553103102.18,0.0,0.0,0.0,0.5858310254613464,0.3616905387776433,0.04860404554375109,0.0038743902172593387,
603893.SH,瑞芯微,2026-03-31,provisional,5745784693.36,3185840800.8100004,2113795607.09,318945573.31,127202712.14999999,5745784693.360001,-9.5367431640625e-07,1.6597808085436e-16,-9.5367431640625e-07,0.5544657467746142,0.36788632360916085,0.05550948918754005,0.02213844042868492,
605305.SH,中际联合,2026-03-31,provisional,3729812374.94,2042276431.85,1601743207.3200002,0.0,85792735.77000001,3729812374.94,0.0,0.0,0.0,0.5475547364183039,0.4294433730988323,0.0,0.023001890482863798,
001221.SZ,悍高集团,2026-03-31,provisional,3841215212.61,1991903135.24,1694297122.1499999,0.0,155014955.22,3841215212.6099997,4.76837158203125e-07,1.241370586677249e-16,4.76837158203125e-07,0.518560670253765,0.441083622856625,0.0,0.04035570688960997,
300308.SZ,中际旭创,2026-03-31,provisional,56580677310.74,12217721372.84,38632427753.89,2110322498.08,3620205685.9300003,56580677310.74,0.0,0.0,0.0,0.21593451958414192,0.6827848231954072,0.03729758282125449,0.06398307439919639,
605117.SH,德业股份,2026-03-31,review_required,21906321694.64,9847714780.05,8626149812.5,182273584.81,3250183517.2799997,21906321694.64,0.0,0.0,0.0,0.44953757720354853,0.3937744516283001,0.008320592902394855,0.14836737826575647,其他类资产超过总资产10%，报告必须解释构成
300360.SZ,炬华科技,2026-03-31,provisional,5076445091.88,2934528295.58,1651769037.6200001,355712116.49,134435642.19,5076445091.879999,9.5367431640625e-07,1.87862628107944e-16,9.5367431640625e-07,0.5780675733642641,0.32537908077880684,0.07007110488774465,0.026482240969184476,
920029.BJ,开发科技,2026-03-31,provisional,5058875785.26,2973101760.18,1980037993.4099998,15134924.25,90601107.42,5058875785.26,0.0,0.0,0.0,0.58770009116308,0.3913988161518451,0.002991756447963891,0.017909336237110943,
600211.SH,西藏药业,2026-03-31,provisional,6391812976.9,3823012170.34,1862407254.68,446132479.97,260261071.90999997,6391812976.900001,-9.5367431640625e-07,1.4920247508067386e-16,-9.5367431640625e-07,0.5981107682837966,0.29137386550744465,0.06979748650067234,0.04071787970808642,
300750.SZ,宁德时代,2026-03-31,provisional,1046329036000.0,412349817000.0,472914853000.0,89515931000.0,71548435000.0,1046329038000.0,-2000.0,1.9114446136807774e-09,0.0,0.3940919183284521,0.45197527424824324,0.08555237207428505,0.0683804353490196,
000858.SZ,五 粮 液,2026-03-31,provisional,198638173212.42,124259000313.65,59532204198.85,2230714411.45,12616254288.47,198638173212.42,0.0,0.0,0.0,0.625554485847842,0.299701730216716,0.011230038896222202,0.06351374503921967,
603605.SH,珀莱雅,2026-03-31,provisional,8912125388.7,5074931645.57,2879167470.5099998,641702552.51,316323720.11,8912125388.7,0.0,0.0,0.0,0.569441230259696,0.3230618225098805,0.0720033128487664,0.03549363438165693,
300274.SZ,阳光电源,2026-03-31,provisional,121864175876.94,34100193612.359997,77387802835.97,2070833526.0600002,8305345902.55,121864175876.94,0.0,0.0,0.0,0.2798213122681337,0.6350332431913148,0.016992963774285514,0.06815248076626591,
920599.BJ,同力股份,2026-03-31,provisional,8403186876.99,2460826833.33,5460353900.58,106191330.53,375814812.54999995,8403186876.99,0.0,0.0,0.0,0.2928444730972664,0.6497956049902682,0.012637030698529159,0.04472289121393619,
601126.SH,四方股份,2026-03-31,provisional,12872747440.96,4215734929.5099998,7718642259.209999,123958766.54,814411485.7,12872747440.960001,-1.9073486328125e-06,1.4816950628142343e-16,-1.9073486328125e-06,0.32749301956285465,0.5996111004749405,0.009629550110303076,0.0632663298519018,
603515.SH,欧普照明,2026-03-31,provisional,9558439635.78,5346112215.7300005,3283758754.0000005,627246759.01,301321907.03999996,9558439635.780003,-1.9073486328125e-06,1.9954602482111653e-16,-1.9073486328125e-06,0.5593080481167615,0.3435454822257749,0.06562229641143877,0.031524173246024904,
603766.SH,隆鑫通用,2026-03-31,provisional,16568623171.65,9566186913.22,6178697664.23,500016944.41,323721649.79,16568623171.65,0.0,0.0,0.0,0.577367643292677,0.3729155766426118,0.03017854526775416,0.019538234796956995,
688411.SH,海博思创,2026-03-31,provisional,17272492460.51,4697876749.88,10593931578.88,501833180.34,1478850951.4099998,17272492460.51,0.0,0.0,0.0,0.2719860356356055,0.613341218883195,0.029053894884443477,0.08561885059675599,
601921.SH,浙版传媒,2026-03-31,provisional,22035802140.08,11420980564.73,8894551064.949999,1494282596.53,225987913.87,22035802140.079998,3.814697265625e-06,1.7311361035896244e-16,3.814697265625e-06,0.5182920273166209,0.403640902582442,0.06781158167199694,0.01025548842893992,
688332.SH,中科蓝讯,2026-03-31,provisional,5695302920.77,2748725096.55,864770881.91,1924345798.9,157461143.41,5695302920.77,0.0,0.0,0.0,0.48263018399351,0.15183931284081437,0.3378829582325061,0.027647544933169486,投资类资产超过总资产10%，报告必须解释构成
601369.SH,陕鼓动力,2026-03-31,provisional,23776401288.5,11356091037.95,11015695028.91,338449515.23,1066165706.41,23776401288.5,0.0,0.0,0.0,0.47762026305648847,0.46330371426890377,0.014234682159141504,0.04484134051546629,
688612.SH,威迈斯,2026-03-31,provisional,7822990264.48,2802875050.8599997,4658411648.44,111700760.39,250002804.79000002,7822990264.48,0.0,0.0,0.0,0.3582869153738246,0.5954771118137967,0.014278524785742507,0.03195744802663613,
000682.SZ,东方电子,2026-03-31,provisional,14057615948.54,4009424992.75,8530734011.21,990990534.3299999,526466410.25,14057615948.539999,1.9073486328125e-06,1.3568080389979596e-16,1.9073486328125e-06,0.28521372382252425,0.6068407361844301,0.07049492161100919,0.03745061838203639,
002056.SZ,横店东磁,2026-03-31,provisional,28943893456.19,9711456565.070002,18358913369.48,577618595.25,295904926.39000005,28943893456.190002,-3.814697265625e-06,1.3179627237776408e-16,-3.814697265625e-06,0.33552695941786265,0.6342931505489537,0.019956492588818223,0.010223397444365496,
605599.SH,菜百股份,2026-03-31,provisional,10143544276.37,3979631095.57,5269353170.500001,27931900.240000002,866628110.0600001,10143544276.37,0.0,0.0,0.0,0.3923314166273017,0.5194785005055164,0.002753662771016739,0.08543642009616526,
600186.SH,莲花控股,2026-03-31,review_required,3563060800.65,1457260566.33,1604365940.0900002,76176668.0,425257626.23,3563060800.65,0.0,0.0,0.0,0.4089912150991517,0.45027745240758166,0.021379558829336644,0.11935177366393,其他类资产超过总资产10%，报告必须解释构成
600686.SH,金龙汽车,2026-03-31,review_required,28398900178.48,9819110006.11,14752961434.279999,510500713.22999996,3316328024.86,28398900178.48,0.0,0.0,0.0,0.34575669988624014,0.5194905908877216,0.017976073369800605,0.11677663585623761,其他类资产超过总资产10%，报告必须解释构成
603341.SH,龙旗科技,2026-03-31,provisional,25611032432.25,7721387217.0,14238916011.76,1421754638.31,2228974565.1800003,25611032432.250004,-3.814697265625e-06,1.4894742239369646e-16,-3.814697265625e-06,0.301486761122408,0.555968059836199,0.05551336683013582,0.08703181221125722,
600284.SH,浦东建设,2026-03-31,provisional,29196177533.87,6372511217.57,16538651009.029999,4561259511.85,1723755795.42,29196177533.869995,3.814697265625e-06,1.3065742120521199e-16,3.814697265625e-06,0.21826525784676284,0.5664663118945549,0.15622796876606737,0.0590404614926149,投资类资产超过总资产10%，报告必须解释构成
000921.SZ,海信家电,2026-03-31,review_required,75438949070.62,24442339898.84,35404245698.72,2316500314.33,13275863158.73,75438949070.62,0.0,0.0,0.0,0.3240015959919989,0.46930990071955186,0.030706953674042768,0.1759815496144065,其他类资产超过总资产10%，报告必须解释构成
600841.SH,动力新科,2026-03-31,provisional,11161026256.55,3433492504.5,4839249378.210001,2758693805.29,129590568.55,11161026256.55,0.0,0.0,0.0,0.30763232928378864,0.43358462447573065,0.2471720558556184,0.011610990384862505,投资类资产超过总资产10%，报告必须解释构成
